,comment
104,一个篮球大使，一个颜值主播，难搞哦 
105,别叫哥哥了，奶奶好吗？ 
106,回复@抗压吧务团队_1:@姒俕困了吗 举得起来得为国争光了 
107,回复@沁雨幽:奶奶很喜欢你，奶奶要和你舌吻 
108,婆婆，要不要这么没有素质呢，你也不看看你自己比cxk大多少，比个捶捶，cxk秒胜，好嘛，想把自己的黑甩到坤坤身上，不好意思，婆婆，我们就专黑你了 
109,奶奶 这有可比性吗???? 
110,回复@当忆相思:那可不是 
111,回复@小墨镜的小领带:哎（叹气）比起来，我怎么这么突然喜欢坤坤了呢 
112,奶奶，您说您一大把年纪了，不好好回你的养老院养老，不去和那些老爷大妈跳广场舞，您骗人、钱，我不管，我知道您养老金不够，所以我们原谅你，可你不用带上我坤，您不配 
113,回复@一個葵奎:💓💓💓 
114,你也配？？ 
115,回复@是轻烟:好嘞，谢谢您 
116,坤坤都比你美 
117,你可做个人吧 
118,回复@Num_D127幺贰拐:可以玩梗笑笑，只要不骂蔡我们就是好朋友！ 
119,奶奶您要脸吗？你配提坤坤？ex 
120,回复@今天也好饿啊_:尊老爱幼！叫老奶奶！ 
121,蔡徐坤是你这个奶奶动不起的爸爸 
122,回复@Spoem_TIDE:必须挺你！ 
123,我觉得你们可以合作双赢 
124,回复@乖巧巧:谢谢谢谢谢谢谢谢 
125,回复@甜菜花生酱香饼:爱你！！！ 
126,回复@小狮子今天又成长了吗:挺你！！ 
127,回复@小墨镜的小领带:你们太可怕了趴，哈哈哈 
128,你可拉倒吧 
129,回复@CrMnV:你说什么呢！快叫老奶奶 
130,你可拉倒吧 
131,回复@CrMnV:你说什么呢！快叫老奶奶 
132,回复@_____MH:不止两个好吗？😂 
133,奶奶您精修照片估计都没人cxk生图好看OK？您没有搞清楚自己的定位啊在这为老不尊。 
134,回复@爱吃橙子的小阿离:我挺你！！！ 
135,给奶奶到一杯卡布奇诺 
136,奶奶好鸭 
137,蔡徐坤时代已经结束。乔碧萝时代已经来临 
138,回复@减负:我靠哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
139,老奶我想舔你的批 
140,你那点配得上坤坤 
141,回复@Renesemee-:说什么呢！老奶奶是不能听这些的！快道歉，我们要做尊老爱幼的好孩子（干得漂亮！我就喜欢你这样的！） 
142,回复@Navi和芹菜炒芒果冰:上去 
143,回复@赵亚彤Abby: 
144,回复@懵仙dull:哇哈哈哈姐妹 
145,骗你孙女呢 
146,回复@南鸳戏水:谢谢 
147,cxk是你爹？什么都带他？出场费您付的起吗？奶奶，放过孩子吧，您不配 
148,cxk是你爹？什么都带他？出场费您付的起吗？奶奶，放过孩子吧，您不配 
149,奶奶宁配吗 
150,回复@你这只臭猪猪17:谢谢 
151,绝nm的胜负，照照镜子看看自己的脸啊奶奶。 
152,回复@玲子阿w:嗯谢谢 
153,回复@x_汤圆:谢谢谢谢 
154,回复@茶樹樹喲: 
155,回复@ubfdghufc:谢谢哦 
156,回复@EMVCRTC:家人无需谢谢 
157,回复@扶摇啵啵虎:谢谢小可爱 
158,您不到十万粉丝和坤2500多万粉丝比啥呢，奶奶 
159,人言可畏勿喷我 
160,回复@ikun小派:谢谢 
161,回复@KatyPerryLover: 
162,回复@阿花啊阿:这一层的黑粉有点可爱 
163,奶奶2000人后援军      群66466070 
164,回复@丞味少女1:谢谢谢谢😁 
165,奶奶好 
166,回复@校语妍妍:哈哈哈哈我其实很不喜欢蔡徐坤，但是我觉得楼主发的这个也挺好看的 不能否认的是蔡徐坤在一些方面和角度还是很有才华，很好看的 
167,回复@我见过风呀: 
168,回复@Suc_1356:欢迎！！ 
169,回复@齐木楠雄啊:谢谢 
170,带坤坤也没用，奶奶，这次我们支持坤坤 
171,回复@远坂学姐早上好啊:我是你爷爷。 
172,别cue你一爹。 
173,奶奶， 小学毕业了吗？错别字能不能自己找出来改一下。 
174,坦克好的 
175,回复@凉凉凉凉茶_: 
176,回复@_Nini_ni:粉丝在这一层笑死了 
177,差辈了吧，，，奶奶桑 
