,comment
0,封杀！ 
1,回复@Sssy_Only:一夜之间没了同样的许志安一直靠前 
2,心疼亮亮！這個帽子戴的真溫 
3,为啥上不了热搜 
4,@easy-breezy 
5,可是孩子怎麼辦呢？ 
6,热搜没了 
7,她好骚啊，好想……请十个大黑人盘她 
8,pgone
9,我就纳闷儿，这视频是谁爆出来的捏 
10,嫂子有钱，一夜之间热搜没了 
11,回复@就叫红旗东路顾富贵吧:哈哈哈，这图，卧槽，无情 
12,无语了 
13,李小璐和陈某绝配啊，贾配佟刚刚好，合适的很呢 
14,李小璐和陈某绝配啊，贾配佟刚刚好，合适的很呢 
15,回复@Blues-S:好吃不过饺子，好玩不过嫂子，吃着嫂子包的饺子，玩着包饺子的嫂子。后面的我也不会了。 
16,之前是小璐 后来是嫂子 现在是李  
17,回复@黄东宁HDN:@张乂术 这一层，我笑吐了 
18,不想黑人，但真的看不下去啊 小孩以后知道咋办 
19,女的不怎么爱亮，碰到弟弟，觉的自己也可以有爱情，可以再年轻一次 
20,姓李的话 我想要带你回家在那深夜酒吧 那管他是真是贾 
21,潘金莲？ 
22,确定是本人吗，真爱啊，居然敢这么露面。。。。 
23,没有热搜我服了 
24,压根也没亲上，就这么一个假装的动作，非得搞得人家家庭破裂吗 
25,明星干啥都拍视频，想留啥证据，给自己挖坑自己埋。 
26,别再娱乐圈了，影响太不好了 
27,回复@喝杯奶茶又不会胖:张九龄看手机 
28,转发微博 
29,回复@喝杯奶茶又不会胖:张九龄看手机 
30,转发微博 
31,回复@听最嗨的曲蹦最野的迪:太厉害了👍🏻👍🏻👍🏻 ¡评论配图 
32,回复@我做遗体美容师的那些日子:图片评论 ¡评论配图 
33,这个歌曲叫啥名字？ 
34,这俩个狗男女，还能开网店 还有几千万粉丝 不全面封杀 中国人的道德观怎么了 
35,回复@来杯奶茶ll:吃最烫的饺子，玩最浪的嫂子 
36,只能说贵圈真乱，呵呵，这就是从来不喜欢女明星的原因，只不过是从古代的青楼（哦，不要误解就是“只卖艺”的那种）换了种形式而已！ 
37,请这俩人滚出娱乐圈 别侮辱我们的眼睛 
38,事都过去了别用网络暴力了，网络暴力害死了多少人了，怎么人都是失去后才懂得珍惜呢 
39,回复@糖包笑嘻嘻:第二个马蓉 
40,幸亏hhh解散了 不然这几爷子要把弹壳搞死 
41,回复@糖包笑嘻嘻:第二个马蓉 
42,幸亏hhh解散了 不然这几爷子要把弹壳搞死 
43,我想知道视频是谁曝出来的 
44,不是啊，这视频都哪来的 
45,回复@Taylortie:wtf？？？？？？？？？ 
46,热搜怎么都压下去了 
47,正儿八经污点艺人啊！狗男女！ 
48,剑 
49,回复@QAQmofashaonv:11.11先冲冲 
50,剑 
51,回复@QAQmofashaonv:11.11先冲冲 
52,pgone敢不敢把额头露出来 
53,看了好多遍，觉得是爱情的味道，娱乐圈本来就很乱 
54,热搜居然不爆，出钱了 
55,这热搜撤的真快 
56,？怎么现在上榜了 
57,@印月倩影 
58,回复@SNH48-赵诗诗:热搜撤的真快 lxl真有钱 
59,撒谎都不脸红的，心疼贾乃亮 
60,坐等吃瓜 
61,我只想知道，这视频是谁放出来的？ 
62,严重怀疑云端被盗了 估计是珍藏的视频 舍不得删 lxl也是真爱了 
63,为什么不上热搜？ 
64, 
65,为什么不上热搜？ 
66, 
67,真呕心 
68,这压热搜这么厉害的吗？ 
69,为什么没上热搜，好奇怪 
70,PG人生赢家 
71,感情从来都是两个人的事情 你看到的不一定都是真的 一个巴掌永远拍不响 没有身在其中 请管好自己的嘴！ 
72,回复@宋景瑜:贾乃亮那么爱你，视你如珍宝…… 。感觉亮亮现在该多心痛，心痛的感觉知道吗？希望他重新找一个温柔的爱他的女孩子。 
73,真的太不要脸啦 
74,这男的有贾乃亮颜值？李小璐眼瞎啦 
75,回复@宋景瑜:贾乃亮那么爱你，视你如珍宝…… 。感觉亮亮现在该多心痛，心痛的感觉知道吗？希望他重新找一个温柔的爱他的女孩子。 
76,真的太不要脸啦 
77,这男的有贾乃亮颜值？李小璐眼瞎啦 
78,回复@不可战胜的黑娃:怎么会有如此淫乱之事呢 
79,真想一刀 
80,李小璐和杨幂很像，都是不忠于家庭的人，喜欢穿吊裆裤看起来拽拽这类男人，说明内心喜欢玩新鲜和刺激，唉…… 
81,p
82,诶 
83,这个热搜上不去？ 
84,感觉李小璐的节奏没跟上，节拍不对 
85,我想问问当年被李小璐告的网友，现在是不是可以反告她？毕竟有证据了啊，作为公众人物难道不该遵守道德底线么 
86,觉得他们那个时候应该蛮甜蜜的 
87,我 呕 
88,这..出轨了吧。 
89,14w都不是热搜… 啧啧 
90,"回复@知你故来风:押韵哦,peace "
91,为什么要骗亮哥??? 
92,回复@-Yannnie:垃圾中的战斗机，现在出来踩姐妹了 
93,回复@-Yannnie:垃圾中的战斗机，现在出来踩姐妹了 
94,回复@晴天妖精:那是你自己活不明白，不用替别人担心，因为大家都知道什么是道德沦丧！ 
95,也不是大很多哈，也就，13岁还是接受不了，不知道小家伙想什么 
96,回复@z小竹子w:8是 
97,网络真可怕 居榜不下 是要逼S谁？ 
98,回复@宋景瑜:他们两个差了几岁啊。是老妻少夫吗 
99,她俩这是真爱吗 
100,李小璐对于公关这方面做的还是挺牛批的了  ，这么严重的问题居然不在微博热搜榜，可想而知 ，做过多少这样的事啊。。 
101,回复@肖战的星巴克c:哈哈哈我也以为笑死我了 
102,前戏玩的嗨 
103,回复@SNH48-赵诗诗:人家根本不想待在娱乐圈，好歹她也是演员的前辈，你这么说话，实在低俗。而且还在公共平台如此说，是真的觉得素养素质不重要了么 
104,回复@SNH48-赵诗诗:人家根本不想待在娱乐圈，好歹她也是演员的前辈，你这么说话，实在低俗。而且还在公共平台如此说，是真的觉得素养素质不重要了么 
105,@溯洄从之l道阻且长 @Nineteen阿 
106,我不是粉，万一人家早就离婚了只是没爆出来呢娱乐圈不是很多离婚不立马爆的吗 
107,有毛病嘛？这种时候还发这个出来干嘛呢？给甜心二次伤害嘛？难道这不属于网络暴力么！！非要逼死她么！ 
108,@-AooA-张艺 
109,不评价，只作为饭后八卦说一说即可。给大家都留条活路吧！ 
110,李小璐觉得都离婚了还不能找一个男人吗？舆论真的很恐怖 
111,回复@那也可以叫皮卡丘吧:你仿佛被盗号了 
112,@我只爱hly 
113,回复@EnEn-Yan:因为屁万会饶舌 
114,这个视频还不够啊，有没有更刺激的啊，上床视频呢 
115,回复@suger_venom:呜呜呜辣眼睛 
116,回复@EnEn-Yan:因为屁万会饶舌 
117,这个视频还不够啊，有没有更刺激的啊，上床视频呢 
118,回复@suger_venom:呜呜呜辣眼睛 
119,回复@糊涂叔叔kiki:你你你 
120,回复@_昵称要怎么取才ojbk:懂你的感受 
121,养不起了 
122,回复@蜜桃林Pink:这视频谁放出来的？都过去这么久了 
123,我擦，城会玩 
124,我觉得这个视频就是皮几万发的，发的目的应该是因为和李小璐分手了来个两败俱伤 
125,热搜都撤了 
126,回复@SNH48-赵诗诗:当网红卖衣服，一天就几千万，也有XX买 
127,某人都不敢开评论，为啥？做贼心虚吧！ 
128,某人都不敢开评论，为啥？做贼心虚吧！ 
129,我他吗！！！！老万我一直以为你是被冤枉的 谁在我面前说你这事我都跟他们急 真的！！！！！好打脸   @Bow-Down 
130,听同事说特意来搜的 
131,李小璐就没想过身边朋友出卖自己了吗。看到一张图的对话说吃饭那行六个人被拍。你别卖我啊这句话……谁爆出来的…排查下就知道 
132,要脸？ 
133,一步踏错终身错 下海伴舞为了生活 舞女也是人 心中的痛苦向谁说 为了生活的逼迫 颗颗泪水往肚吞落 难道这是命 注定一生在那风尘过 伴舞摇呀摇搂搂又抱抱 人格早已酒中泡 夜夜Tango Cha Cha Rumba Rock and Roll 谁叫我是一个舞女 
134,哇哈哈 
135,太辣眼了吧 
136,到底是个什么审美啊李小璐，这新浪也真够渣的，收钱撤热搜 
137,让他们持续热搜！！继续秀恩爱呀。 
138,你们娱乐圈这些玩意儿，天天让我们看耍猴。到底是人耍猴呢？还是猴耍人？ 
139,典型的穿了很多年1万块的大衣，在路边看见20块的大衣，便换上了20块的大衣。 
140,我觉得还是挺甜的，只看视频的话 
141,真会玩，丝毫看不出是一个快四十的人了 
142,刺激！！ 
143,这么多赞和评论都上不了热搜，可怕 
144,刺激！！ 
145,这么多赞和评论都上不了热搜，可怕 
146,不是都离婚了嘛，她怎么过是她自己的事儿 
147,女人何苦为难女人 
148,李小璐和PGONE做个人吧 
149,会玩得很啊！ 
150,这都上不了热搜？ 
151,女儿真的可怜摊上这么个妈 牛皮 
152,回复@装满可乐的瓶子-:谁？ 
153,心疼我亮、心疼甜心～ 
154,能亲自毁掉自己的名声 这可真是太有本事了 
155,璐宿一晚，贾装没事，万没想到，卓实厉害 
156,@黄月灵啊 
157,贾乃亮哪里不如皮几万，真是瞎了眼 
158,热搜撤的真快 
159,还有说什么狗屁真爱的？ 你追求真爱不能离了婚再追求吗   希望说风凉话的另一半也能在婚姻中找到真爱 
160,卧槽 
161,这b还没死？  皮几万 
162,礼义廉耻忍耐克己 其实人一辈子很苦 对的错的该做的不该做的条条框框太多 能活成自己想要的样子也不错 千夫所指只要自己扛的下来就好 
163,回复@TimeHazard:哈哈哈哈哈哈哈哈 
164,看到马发的，在又看一次视频，她这在拍视频的话，还亲，不是给别人骂她吗？不懂！乱78糟 
165,@爽姐姐千岁 
166,天造地设的一对 
167,回复@阿饭饭饭饭饭呀:我只想说普通人管好自己就好了，人家不愁吃不愁穿轮得到我们来心疼吗？ 
168,回复@_Hoooook:柯南都没你🐂🍺 
169,是AI换脸吧 
170,呃……真疯狂 
171,回复@氵木子弋:好的、谢谢🙏 
172,这叫做头发 
173,回复@Enchanted吉田:我操 
174,回复@氵木子弋:好的、谢谢🙏 
175,这叫做头发 
176,回复@Enchanted吉田:我操 
177,不能见人的视频千万别拍。估计第三季要打马赛克了    现在天天提心吊胆的 
178,璐出马脚 贾装不见 馨疼 
179,回复@喝杯奶茶又不会胖:图片评论 ¡评论配图 
180,吐了 
181,新浪娱乐已经把最火的删了，感觉博主马上也要删了 
182,回复@这灬把我能耐的:就算是，也洗白不到哪里去，让孩子替他们俩行为买单，普通人也就算了，可偏偏是公众人物，这无疑是将父母，孩子推在了风口浪尖上。 
183,两个坏人 
184,回复@蜜桃林Pink:被告好可怜！法律也是不行啊 
185,回复@中二荼幸:贱笔 
186,完全恋爱女人的甜蜜 
187,按他的说法，17年曝光的时候他们是没事的，后来俩人跌进谷底“扶持”在几个月后确实产生了感情。这tm迷幻操作啊🤪 我寻思他这样说是嫌自己不够黑，还要自己抠点锅灰往脸上抹吗[捂脸] 全篇感觉就是没文化没三观 心疼我方亮亮 
188,完全恋爱女人的甜蜜 
189,按他的说法，17年曝光的时候他们是没事的，后来俩人跌进谷底“扶持”在几个月后确实产生了感情。这tm迷幻操作啊🤪 我寻思他这样说是嫌自己不够黑，还要自己抠点锅灰往脸上抹吗[捂脸] 全篇感觉就是没文化没三观 心疼我方亮亮 
190,回复@蕭弟鸿爷:冠希哥可没有搞过人妻吧，都是正常恋爱正常分手 
191,蓝蓝的天上白云飘，地下的pg和嫂扛～ 
192,回复@SNH48-赵诗诗:还有这个P 
193,当初怎么说的，现在锤死这对🐶男女 
194,想当年她最火的时候当过现在小花争破头的金鹰女神 
195,我他吗！！！！老万我一直以为你是被冤枉的 谁在我面前说你这事我都跟他们急 真的！！！！！好打脸 
196,一杯敬乃亮，一杯敬宝强。 
197,回复@好吃和好玩:那是李小璐跟贾乃亮没离婚之前出轨了啊，她死不承认她出轨现在就要爆出来打她的脸咯 
198,渣浪居然连这种热搜都撤了 
199,回复@宋景瑜:大家真的不要这样了，雪花太多，雪崩了怎么办？ 
200,有本事热搜榜爆 别过会来一下过会来一下 
201,长得帅不如舌头快 
202,嫂子 ¡评论配图 
203,长得帅不如舌头快 
204,嫂子 ¡评论配图 
205,事实证明，人长的再帅再美，再有钱再成功，在哺乳动物的天性面前，在快乐荷尔蒙分泌旺盛的情况下，啥几把条条框框人伦道德都不堪一击了 
206,这是她吗？怎么感觉不像啊，不是为她辟谣。 
