,comment
0,真香，这朵莲花是真的白 
1,回复@Sarah_璐:现在都什么社会了，不要总盯着别人的生活，想想怎么为社会做贡献吧 
2,无论真相到底是什么样子的，但是你的确对孩子造成了伤害，如果你多为孩子考虑，即使你心里面对这个家庭有什么不满，或者你不爱你的老公了，你就不会作出这样的事情了。每个人都有追寻爱情的自由，但是你有孩子了，你应该多为孩子考虑，而不是自己。但是你现在身为一个母亲，有些事情就不可以做了。 
3,最讨厌的就是做错了事还为自己的行为找各种的理由来维护自己 
4,2018年的那次事件我真的没有相信那些流言蜚语，但是这次我说服不了自己，这篇长文逃避事件本身，你说我们不知道事实，那事实又是什么？确实网络暴力很可怕，但要知道整件事情最大的受害者是甜馨，我们想看到的不是你的卖惨，而是对真相的态度 
5,估计这么长时间就在编和搜集这些引用的文章故事吧？用华丽的文字和朴实的故事也掩盖不了你带给自己及家人尤其你女儿的伤害，一手好牌还不是被你打的稀烂啊 
6,网暴是不对的，我就做为路人，毕竟这是别人的人生。笑看八卦而已。人身攻击真的没必要，没有伤天害理，没有杀人犯法。 
7,骂你的人多了说明之前他们对你的期待太高了，突然出现这个事情都接受不了 
8,回复@Sexy_papi:哈哈哈哈哈哈哈 
9,从头到尾，你就是在寻找你想要的爱情。祝福你 
10,婚姻是责任，对孩子，亲人……受伤的是孩子 
11,回复@无敌春春小提莫:是她小时候什么什么…大了她想怎样就怎样，不能用封建社会来苛刻对待她，最后，她有田馨 
12,日子过好了 人闲了 就喜欢偷窥别人的所有事情 谁也没有权利评价任何人… 妈妈是唯一也必须活下去的理由 
13,都三十多岁的人了，能不能以后做事情多为孩子想想，你可是公众人物 
14,加油 小璐 
15,以后的路还很长  加油 
16,最讨厌的就是做错了事还为自己的行为找各种的理由来维护自己 
17,2018年的那次事件我真的没有相信那些流言蜚语，但是这次我说服不了自己，这篇长文逃避事件本身，你说我们不知道事实，那事实又是什么？确实网络暴力很可怕，但要知道整件事情最大的受害者是甜馨，我们想看到的不是你的卖惨，而是对真相的态度 
18,估计这么长时间就在编和搜集这些引用的文章故事吧？用华丽的文字和朴实的故事也掩盖不了你带给自己及家人尤其你女儿的伤害，一手好牌还不是被你打的稀烂啊 
19,网暴是不对的，我就做为路人，毕竟这是别人的人生。笑看八卦而已。人身攻击真的没必要，没有伤天害理，没有杀人犯法。 
20,骂你的人多了说明之前他们对你的期待太高了，突然出现这个事情都接受不了 
21,回复@Sexy_papi:哈哈哈哈哈哈哈 
22,从头到尾，你就是在寻找你想要的爱情。祝福你 
23,婚姻是责任，对孩子，亲人……受伤的是孩子 
24,回复@无敌春春小提莫:是她小时候什么什么…大了她想怎样就怎样，不能用封建社会来苛刻对待她，最后，她有田馨 
25,日子过好了 人闲了 就喜欢偷窥别人的所有事情 谁也没有权利评价任何人… 妈妈是唯一也必须活下去的理由 
26,都三十多岁的人了，能不能以后做事情多为孩子想想，你可是公众人物 
27,加油 小璐 
28,以后的路还很长  加油 
29,不值得同情 
30,回复@叶甜田-:我也从来没有讨论过这些事，每个人都有自己的生活方式。只不过艺人活在大众的面前，不过也要承受的住大众的点评。希望大家多注重演技，生活方面不是我们大众应该关注的 
31,从头到尾，你就是在寻找你想要的爱情。祝福你 
32,婚姻是责任，对孩子，亲人……受伤的是孩子 
33,回复@无敌春春小提莫:是她小时候什么什么…大了她想怎样就怎样，不能用封建社会来苛刻对待她，最后，她有田馨 
34,日子过好了 人闲了 就喜欢偷窥别人的所有事情 谁也没有权利评价任何人… 妈妈是唯一也必须活下去的理由 
35,都三十多岁的人了，能不能以后做事情多为孩子想想，你可是公众人物 
36,加油 小璐 
37,以后的路还很长  加油 
38,不值得同情 
39,回复@叶甜田-:我也从来没有讨论过这些事，每个人都有自己的生活方式。只不过艺人活在大众的面前，不过也要承受的住大众的点评。希望大家多注重演技，生活方面不是我们大众应该关注的 
40,贾乃亮对你那么好，你不珍惜。 
41,确实，怎么说也是别人自己家的事，其实并不关其他人的事，那些骂的很难听的，其实本质上与你无关 
42,不要跟我提封建社会，要在封建社会里，你是要浸猪笼的！！ 
43,做为公众人物就应该做违反妇女道德的事情吗 
44,希望甜馨能够开开心心长大。大人们的事情很小孩子无关 
45,不值得同情 
46,回复@叶甜田-:我也从来没有讨论过这些事，每个人都有自己的生活方式。只不过艺人活在大众的面前，不过也要承受的住大众的点评。希望大家多注重演技，生活方面不是我们大众应该关注的 
47,贾乃亮对你那么好，你不珍惜。 
48,确实，怎么说也是别人自己家的事，其实并不关其他人的事，那些骂的很难听的，其实本质上与你无关 
49,不要跟我提封建社会，要在封建社会里，你是要浸猪笼的！！ 
50,做为公众人物就应该做违反妇女道德的事情吗 
51,希望甜馨能够开开心心长大。大人们的事情很小孩子无关 
52,回复@Sarah_璐:你嘴巴那么贱背后肯定有很多心酸的故事吧 
53,我差点就感动了 
54,确实 人无完人都可能遇到婚姻里可能出现的事 可你是公众人物 拿着高额的收入 就是比普通人承受更多 快乐更多痛苦也是同样加倍 你只是千不该万不该 在婚姻期间出这样的事情 你大可以离了婚 做这些 所以大家都是在为自己的错买单的人而已 我们共勉 
55,回复@叶甜田-:我也从来没有讨论过这些事，每个人都有自己的生活方式。只不过艺人活在大众的面前，不过也要承受的住大众的点评。希望大家多注重演技，生活方面不是我们大众应该关注的 
56,贾乃亮对你那么好，你不珍惜。 
57,确实，怎么说也是别人自己家的事，其实并不关其他人的事，那些骂的很难听的，其实本质上与你无关 
58,不要跟我提封建社会，要在封建社会里，你是要浸猪笼的！！ 
59,做为公众人物就应该做违反妇女道德的事情吗 
60,希望甜馨能够开开心心长大。大人们的事情很小孩子无关 
61,回复@Sarah_璐:你嘴巴那么贱背后肯定有很多心酸的故事吧 
62,我差点就感动了 
63,确实 人无完人都可能遇到婚姻里可能出现的事 可你是公众人物 拿着高额的收入 就是比普通人承受更多 快乐更多痛苦也是同样加倍 你只是千不该万不该 在婚姻期间出这样的事情 你大可以离了婚 做这些 所以大家都是在为自己的错买单的人而已 我们共勉 
64,骂李小璐的人，难道都是神仙不用过日子的吗？所有问题的发生绝对不是说我们表面看到的那么简单，家家有本难念的经，谁愿意放着好好的日子不过，跑去给自己找麻烦？普通老百姓都要打落牙齿往肚咽，何况是明星呢？能走到今天，李小璐固然是挑战了女人的道德底线，但是什么促使她做这样的选择？ 
65,不要跟我提封建社会，要在封建社会里，你是要浸猪笼的！！ 
66,做为公众人物就应该做违反妇女道德的事情吗 
67,希望甜馨能够开开心心长大。大人们的事情很小孩子无关 
68,回复@Sarah_璐:你嘴巴那么贱背后肯定有很多心酸的故事吧 
69,我差点就感动了 
70,确实 人无完人都可能遇到婚姻里可能出现的事 可你是公众人物 拿着高额的收入 就是比普通人承受更多 快乐更多痛苦也是同样加倍 你只是千不该万不该 在婚姻期间出这样的事情 你大可以离了婚 做这些 所以大家都是在为自己的错买单的人而已 我们共勉 
71,骂李小璐的人，难道都是神仙不用过日子的吗？所有问题的发生绝对不是说我们表面看到的那么简单，家家有本难念的经，谁愿意放着好好的日子不过，跑去给自己找麻烦？普通老百姓都要打落牙齿往肚咽，何况是明星呢？能走到今天，李小璐固然是挑战了女人的道德底线，但是什么促使她做这样的选择？ 
72,我没有看懂其实之前最喜欢的一对现在搞成这样…遗憾 
73,加油💪一切都会过去的 
74,错就认了吗 大大方方挺好。 
75,回复@练不出肌肉的五花肉:就想问问李小璐，那视频里是替身？ 
76,我差点就感动了 
77,确实 人无完人都可能遇到婚姻里可能出现的事 可你是公众人物 拿着高额的收入 就是比普通人承受更多 快乐更多痛苦也是同样加倍 你只是千不该万不该 在婚姻期间出这样的事情 你大可以离了婚 做这些 所以大家都是在为自己的错买单的人而已 我们共勉 
