,comment
0,能满足的条件都做到了，还是不行本想着最后还有1000吨大米做后盾，怎奈是自己人没防住自己人呀国足是不是要感谢一下今晨的那份声明，要不然﹉…... 
1,刚才我们还在讨论，太难了，太难了 
2,里皮: 我尽力了，……唉!😓 
3,回复@离人心上禾火:恐怕很难 
4,叙利亚男足教练给每一个队员一个大耳光
5,你们交的税有一部分供球员工资生活及出赛费用，还忍得住吗，兄弟们，姐妹们 
6,回复@清越大魔王:有半毛钱关系？你是喷子中的极品吧，还是喷子 
7,可不可以取消国足来养猪，毕竟猪肉这么贵了 
8,笑死个人哈哈哈 
9,责任最大的是
10,回覆@__s__s__s__:哈哈，这个搞笑 
11,小时候最喜欢的球员教练 唉 
12,正确的决定，阿斗真的扶不起 
13,回复@王昆彭:解散解散 
14,回复@i糊里糊涂啊啊:国足真是把不忘初心，牢记使命贯彻到底了 
15,有钱赚，也得有命花，这大岁数再给气过去 
16,足球外交都不懂，真是的 
17,猪脚虽然不好听，但是猪肉身价又上涨了，恭喜中国男足，喜提进球一个，自家门 
18,猪脚虽然不好听，但是猪肉身价又上涨了，恭喜中国男足，喜提进球一个，自家门 
19,这国足赶紧解散吧 
20,要钱还是要命？老头一琢磨，还是要命吧！ 
21,回复@逍遥雨神子木墨:一看就没好好学，主题教育主体是党委党组，让纪委冲在前干啥。 
22,国足不降薪，对不起地球人啊 
23,祝贺叙利亚男足赢得比赛，值得尊敬！ 
24,让真正专业出身并热爱这行的人才来搞中国足球吧，在不要那些只想政绩急功近利升官发财什么都不懂从不承认错误的官僚折腾了。 
25,回复@奋斗遂心:就是！里皮真不行！出事就说别人有问题，我们球员输了，开会！！总结！！讨论！！结论
26,国足和A股是全世界的笑话 
27,把中国足球加到相声小品里面吧，图个乐子，就当玩梗了 
28,中国汉族足球队，你代表不了全体中国人 
29,回复@卿为之奈何:主动辞职拿不到剩的1800w吧，拜托你了解一下里皮在尤文图斯和意甲联赛的地位好吧，国足是真的烂 
30,十年之后再组国家男足 
31,足协表示差强人意 
32,请评价一下差强人意！！ 
33,回复@威斯特砝伦:也是没有办法了 他给王刚的边路背锅 也是下意识的去解围 只是运气不好罢了 
34,回复@离人心上禾火:去横店拉11个群众演员来当企鹅，管饭管饱 
35,回复@四火44:别这样说，最高难度的AI人机能把主播按在地上摩擦 
36,回复@离人心上禾火:复制粘贴尼玛 
37,回复@逍遥雨神子木墨:要是这么说得杀不少人 
38,真的难 
39,丢人死了 作为一个女生 不懂足球的女生 十几亿的大国找不出一个会踢足球的吗 真的这么神奇吗 
40,回复@戈十四:就是王刚的错，你没看过比赛吧？看比分的键盘侠？？ 
41,别说14亿，就是140亿人也不够他们丢的，取消国足吧，丢不起这人啊 
42,国足的一句对不起，我没想到能用30年… 
43,评论里的段子质量好高 
44,回复@清越大魔王:为了庆祝，停战了。国足努力了 
45,回复@仰望希望的人:差强人意 
46,回复@王昆彭:一直不懂，泱泱大国，这么多人，选不出几个踢足球的人？？ 
47,回复@王昆彭:你们七十四军五万多人，上来三天就没了？就是五万头猪，共军三天三夜也抓不完！ 
48,感谢国足给饱受战争苦难的叙利亚人名带来温暖 
49,叙利亚那边打战呢啊喂！！！ 
50,回复@北城Vn:国足主要是待遇太好了，各个年薪千万，没有斗志。上次和叙利亚在西安踢比赛，叙利亚赢了以后，人家球员居然顺便去轻工买衣服去了 
51,回复@雷霆雨露倶是天恩:后卫乌龙足球场上很正常的事情，不好的是整体的防守，态度，尤其是中场和王刚！！！ 
52,回复@因特拉肯水牛:高洪波连香港都踢不过，快别出来丢人了 
53,别再花钱养着国足了，真心浪费，醉了 
54,太难了 
55,回复@卿为之奈何:里皮让他们踢得要有斗志，你看看他们场上踢的啥玩意，斗志是主教练能决定的？要能觉得，就不会是现在这个场面 
56,回复@可耐的小马达:里皮也是这么想的 
57,教练
58,终于知道什么是扶不起的阿斗了 
59,回复@清越大魔王:中国过去打暑假工的人多了，就业压力大，所以组个队伍来踢球了 
60,四年又四年 
61,@陈Crystal_ 哈哈哈哈哈哈稳 
62,国足直接解散了吧，有那钱给他们训练请好教练，养着他们不如捐给灾区，省的出去丢人现眼 
63,回复@Mr_小小超:啥荣誉没有却拿着国际球星的工资 
64,男足真的好样的 
65,战术是在球员有能力的基础上才能发挥作用，给一盆狗屎给厨师能做出好菜吗？换了多少教练了，屁用没有，整个腐败的制度不改变，中国足球没有希望。 
66,里皮为什么会那么高工资？因为都要对着一班精神病患者 
67,神仙难救，神仙难救啊(ಡωಡ)hiahiahia 
68,国足用大量事实证明 中华民族的伟大复兴绝对不包括中国足球 
69,回复@但凭快活论生死:找我国的西藏同胞加入国足 
70,回复@小王儿的兽君:瓜迪奥拉来了也不行啊，国足的主要问题不在主教练，在青训 
71,带不动啊 
72,回复@KennethXS:屎壳郎起码还能为废物分解做贡献呢 
73,丢死个人 
74,丢死个人 
75,希望大家要有信心，大家一定要坚持，到他们退休了换一批人就有希望了。 
76,回复@满洲外八:我就这意思阿 10万命都不要了！ 
77,反正国足没救了，还不如把经费让给别人 
78,回复@因特拉肯水牛:今年亚洲杯对手是谁你看了没 
79,敘利亞連年戰爭，我們中國國泰民安，這還踢不過？到底是基因有問題還是智商有問題？建議取消中國男足這項運動，太給中國丟臉了！ 
80,国足就是笑话一样的存在！国足还不如业余球队，最起码业余球队还知道羞耻！ 
81,人生不如意事十之八九，这趟浑水，让你职业生涯添加了不完美，心疼要脸的里皮。 
82,回复@雷霆雨露倶是天恩:两个丢球都赖王刚，张莫斯只不过是背锅侠 
83,回复@多年以后9月11日:特仑苏给了你多少钱 我多给你250 
84,国足是中国足球队，我们是中国人，天下只有一个中国，中国人骂中国人有意思吗？ 
85,还不如把钱拿来喂猪 毕竟猪肉涨价了 
86,回复@离人心上禾火:@差点幽默 我差点被笑死 
87,回复@复兴我大中华: 
88,不要和我说是体能不行，田径运动中国拿了多少冠军了。 
89,回复@离人心上禾火:@星南sing 哈哈哈哈哈哈哈哈 
90,回复@多年以后9月11日:国足输 3.8的赔率 
91,中国男足整的整个国足都被跟着嘲讽，真的不反思一下吗？ 
92,回复@2019年一建增项没过:那女足是怎么踢的球 
93,回复@雷霆雨露倶是天恩:看到大家都骂王刚我就放心了 哈哈哈哈 
94,唉 
95,回复@呦呦卢鸣:顺便 
96,you can you up no can no bb 
97,国足基本功都不够，还讲战术 
98,回复@离人心上禾火:哈哈哈哈哈哈哈哈哈 
99,别说什么了，国足就是菜 
100,回复@卿为之奈何:这么多年这么多教练都不行呗 
101,回复@z1zzZ-:你可拉倒吧，你就自己想吧，辣鸡 
102,回复@_火烤羊咩咩_:神奇，在这看见你了 
103,回复@Peak_Lin:况且他说那句话的时候也说了我承担全部责任  哎 反正国足下一步真得好好想想了 一味的高薪请教练是没有建设性作用的 
104,里皮已经绝望了… 
105,回复@Chris丶Tan:有些时候没办法，千好不顶一过，这个乌龙有可能是他职业生涯的转折点 
106,在成绩这一块拿捏的死死的 
107,回复@逍遥雨神子木墨:找准列出问题清单，推动整改落实 
108,回复@普通京夫:我一直有个问题，足球这项运动为啥不能从部队挑人出来？ 
109,带不动带不动 
110,评论都是一边倒啊，看来国足是真没救了 
111,回复@肖宁:我锻炼锻炼也能上 我要求很低 管饱就好了 
112,国足就该取消了，给他们发那么多钱不让拿来养猪改善民生，现在猪肉这么贵 
113,叙利亚天天动乱都能赢，啧啧啧。 
114,真的，国人竟然没有一个外国人要脸。@人们日报 请你们代球迷问问那帮足协的人天天在干嘛呢，要是没那个能力就别揽瓷器活！ 
115,小时候家旁边的一个足球场是镇上唯一的足球场，而现在也已经变成广场了，镇上再也没有足球，我想还有很多地方都一样吧 
116,真的很丢脸吧，先不说物质条件多好吧，但是和叙利亚比，各种条件都安稳吧 
117,回复@仰望希望的人:别搞男足了，他们拿的年薪又高的一批 
118,有点伤心。 
119,该换的不是教练而是人 心里就没点荣誉感 怂的一批 都怪我们对他们太宽容 
120,人家表示钱不钱的无所谓，到这个岁数了，主要丢不起那个人 
121,中国足协官员和球员怎么选拔？我要竞聘🙌 🙌 🙌 
122,回复@安菲尔德小张:辞职可是要赔付天价违约金的 
123,感觉他也很南的样子 
124,能不能全民投票取消国足啊？国家花这冤枉钱干嘛 
125,回复@仰望希望的人:用钱堆起来的泡沫永远成不了“球”！ 
126,回复@Peak_Lin:有他的责任啊他是主教练责任肯定要担啊 可你喷我做什么? 
127,真是难为他了。。。 
128,技不如人真不能怪教练 
129,都是球员的问题跟教练没关系换谁来带队也没用 
130,@陪我去看海2103 
131,回复@Azmat621:我没说全是他的问题，但他甩锅给球员就是不要脸，不负责任 
132,偌大的中国打不过一个处于水深火热炮火连天中的叙利亚，被人笑死 
133,别扯到里皮说人家看钱过来的，我一个只知道皮毛足球的人都知道里皮在足球的影响力别把自己的心理阴暗暴露出来 
134,回复@王昆彭:跟国足谈责任？ 
135,回复@清越大魔王:打仗和足球有个卵关系？憨批 踢着足球进战场吗 
136,回复@朝歌晚酒Hannah:我们一度以为国足踢假赛？没想到是真的菜 
137,我一直有一个疑问，为什么国足不进行一次大换血，教练这么好，中国优秀的足球人才也那么多，怎么不能重新培养一批呢，哪怕低迷几年(反正也没高过) 
138,回复@DongFeng快递:所以呢 小臭虫 
139,回复@眼光所向是你:然而他拿2000万欧元… 
140,回复@离人心上禾火:国足还真有可能输给企鹅。其实如果组织一个比赛，让国足和中学前十的足球队伍比赛，都可能输几场的 
141,回复@荆棘鸟-江南佬:既然老爷子是为了挣钱，老爷子躺着挣钱怎么样？你能怎么样呢，人家没这个能力吗。现在还好，要是坚持玩到最后，挂在中国就真的麻烦大了。 
142,不抱希望就不会有希望 
143,叙利亚，战乱使国家破败不堪，球队还有这样的精神和成绩…… 
144,回复@王昆彭:死猪不怕开水烫 
145,转发微博 
146,就地解散国足吧 
147,中国足球？还是下辈子吧！那个乌龙我真的看的.........WC，这是国家队的实力？无语了，烂 泥 扶 不 上 墙！ 
148,回复@Peak_Lin:自己经常踢得位置以前踢得好了?国足踢不好为啥恒大就能拿亚冠?跟球员无关? 
149,解散吧，拿那点钱照顾一下农民工多好。 
150,我觉得我们应该承认中国不适合足球运动，把浪费的经费投入到我国的大扶贫工作中，依然有穿不暖吃不饱的地方，他们更需要经济支持。 
151,回复@多年以后9月11日:会说话就多说点👏 
152,哎～～ 
153,回复 @Flickeralice:啊？？ 
154,回复@肖宁:应了那句话
155,很同情里皮 
156,回复@肖宁:输球谁不会，我上我也行 
157,回复@多年以后9月11日:特仑苏给了你多少钱？我伊利给你三倍 
158,回复@看向窗外的心:人家不走，跟你搞搞玩不能挣钱，等着毁约行不行，有点脑子可以吗，都跟你的思维一样？ 
159,再好的教练也带不动的国足，自己球员踢进自家球门搞什么乌龙 
160,回复@Peak_Lin:乌龙球也是教练教的? 
161,回复@Peak_Lin:好好说话 喷个啥 踢得有问题就只能怪主教练? 
162,捞够钱了 哈哈哈哈哈 
163,输球不可怕  可怕的是一群球员上场害怕  没魄力  没拼劲   就这样的球员  要点脸就自动辞职   不要脸那也需要严查    把关系户什么的全纠出来  个个吃的肥头大耳  待遇福利太高了是吗  哪个国家的球员是这样的 
164,把给足球的钱拿去建设西部，拿去改善边防军人生活，拿去鼓励科技创新，拿去做点有意义的事多好。 
165,压力太大了 
166,这样的球队还留着干什么  解散吧 丢人 
167,看看我们国足多爱国啊，知道银狐年薪太贵，直接睿智操作让主教练自动离职，让人感动，而且坚持几十年，从来不动摇。 
168,回复@bobo白小北:孩子犯了什么错，你这么折磨他 
169,中国队进入世界杯仅需要5步: 1.通过运作，让国际足联分配给南极洲一个名额。 2.中国男足被分到南极洲赛区。 3.中国男足和企鹅争夺出线权。 4.客场逼平企鹅。 5.主场安排在三亚，热死企鹅后直接出线。 按目前实际情况来看，这五步计划唯一的难点在第四步。 
170,回复@卿为之奈何:人家是有头有脸的人，你以为跟你一样吗 
171,自购2000含泪收米 
172,这个教教………有点库克呀 
173,回复@who20127:可是人口基数大啊。再说女足都比男足好很多啊 
174,@我不是蔡13 
175,回复@僵尸粉就是我我就是僵尸粉:来人 赏新疆站票一张 
176,回复@我的一群山驴逼朋友:你怎么就知道？？人家里皮下的战术，可惜国足没人执行，一个人怕的要死，你不知道张林梵那个进球吊爆了 
177,回复@离人心上禾火:这种烂梗还要秀，你是有多无聊啊 
178,以前里皮觉得自己可以为了钱不要脸，现在他觉得:算了，钱够用就行，脸还是很重要的。而我不一样，我只要钱不要脸！请我请我！你们考第几名没关系，按时发工资就可以了，奖金不奖金的我不强求！😂 😂 
179,回复@与夢為陵:宁不了解就少说点话   足协无非是给奖金 出场费 教练薪资 跟部分归化球员补贴，大头都是俱乐部给的 
180,快滚 
181,回复@峡谷里的欺诈师:你可拉倒吧，韩国统御星际长达20年，也就去年serral在wcs分赛区四冠+总冠，war3中欧韩三足鼎立，各有特色，但总体还是中韩互有胜负，守望世界杯韩国三连冠，再说你所看的lol，韩国赛区，我没记错的话，应该是五冠，s3-s7，英雄联盟今年s9，lpl也才两冠，你有什么资格说人家电竞亡了？ 
182,回复@玛雅ang:每次都说不看，可一有国足比赛还是忍不住去看 
183,回复@因特拉肯水牛:你有没有看比赛啊，看看他们除了武磊，一个个怕的要死，生怕自己受伤啊， 
184,盲人球员都能赢，这帮国足“残障”球员还跟不上国际节奏？？？烂泥扶不上墙，10个里皮也没有！一个小小叙利亚没有足协，球员没有奢侈品和奢靡的生活，也没有豪华专机包机带着打比赛，国家都快炸平了，国足说那么多借口有什么用？！中国人外国人都看不上这帮篮球员不值得同情！需要整改！甚至解散重组！ 
185,回复@离人心上禾火:新疆，卧铺连夜走 
186,卧槽，踢的再烂也不少拿一分钱 
187,解散吧！要不把人全换了！丢中国人脸丢了几十年！也该重组了， 
188,神仙都救不了国足，最后就是全部炒掉换批新人 
189,玩什么足球啊，解散啊 
190,回复@王昆彭:教练万万没想到  自己的职业生涯在中国男足这遇到瓶颈   
191,回复@威尔特纳之帆:还真没责任。事情证明没有那几个愚蠢的队员接二连三的低级失误，我们完全可以赢 
192,丢人 
193,翻译棒棒哒//@王昆彭:他们没有一点责任和荣誉感——里皮 翻译
194,前腰多扣 
195,解散这只国家队，踢球不用心的直接拉入黑名单，永不召入国家队！！！以儆效尤 
196,里皮
197,教练都吐槽了，囯足还有什么用。垃圾 
198,回复@MSU今天biss了么:千万不要让他有机会去国家队 
199,回复@离人心上禾火:哈哈哈哈哈哈哈哈哈哈艹 
200,里皮
201,真可恶，害翻译小哥失业重新找工作 
202,回复@路漫漫zj:桑心十失望 
203,别搞了好吗 拿那么多钱养一群猪 还不如从青少年开始培养 
204,里皮又又辞职了 
205,里皮真的太无奈了 
206,竟然输给叙利亚吗？逗死我了！他们国家是个啥情况么！闭着眼睛我都能想到！那样都能赢吗！这样美好的国家都能输！太优秀！优秀到做噩梦！ 
207,现在好怀念踢假球的年代，最起码还能假！现在妈的，想假都假不了了 
208,回复@痞子绅士_他好像一条狗:大哥，实力问题自己心里都没个ACDE数，多说真的没意思，还提菲律宾……别让自己显得是个弱智 
209,我很久没看国足比赛了，不知道现在还有没有白斩鸡。 
210,回复@多年以后9月11日:秀 
211,回复@Q赢C:咋说呢，感觉对里皮来说能把国足带出成绩那对他名声绝对好，奈何国足不顶事，原本的名声都赔进去了 
212,现在大家都在提倡男女平等，下次有比赛能不能换女足上场？？ 
213,里皮
214,回复@我干一行爱一行:去别的队谁给他发世界第一高薪? 
215,给老头子气的 
216,求求国足解散吧，真的不想再听到这支垃圾队的任何消息了。 
217,一群过街老鼠，带不动 
218,国足真是绝了 从没让人听到好消息 
219,谁还敢接手？ 
220,回复@有生之莲丶:别学着个词儿乱用，恰烂钱直接签四年不出线不退了，主动辞职哪有钱拿？？人里皮拿过世界杯的冠军教头在欧洲指教巴萨皇马曼城利物浦豪门俱乐部机会一大堆 年薪也有上千欧手上的球员都是世界级的巨星，为什么要来接中国这个烂摊子？人家是真的想救咱们 现在看来已经无药可救懂嘛 
221,这么大的年纪 没当场犯心脏病就很好了  
222,国足还不如解散了呢！有那钱还不如去扶贫。 
223,本来嘛，叙利亚接受物资捐赠啥的，顶天踢个平局，谁知道中国队自己干进去一个 
224,中国男足和中国女足来一场会什么样 
