,comment
0,不道歉要骂，道歉了还要骂.... 
1,回复@·-_-·:应该抓取坐牢，浪费大家的公共资源，拉低国家影视质量！ 
2,回复@小山药的心情:急了，急了，抄袭了，到现在才道歉，真他妈不要碧莲 
3,让他抄，让他抄 
4,回复@王小明photo:他道歉也没有道歉完啊，CLAMP圣传，Fate，等等作品都没有道歉过。这次只因为牵扯到自己利益才出来道歉 
5,CLAMP呢？《圣传》呢？呢？呢呢呢呢呢？？？ 
6,不是不道歉吗 
7,滚 
8,回复@何以不萧萱:这剧有人看不懂？一眼看到底的剧情，说的逻辑不通是前后设定和情节推进 
9,在这个资本主义社会 谁能保持清白 如果我有他这种偷梁换柱的本事我也会好好运用吧 毕竟这个社会钱真的是王道 
10,回复@芥zzz:我觉得可以呀，后来都已经解释清楚了，逻辑都通呀？？本身就是带有破案的，你没看懂？ 
11,回复@白水一碗不要钱:今天只想骂人，狗一边叫去 
12,回复@白水一碗不要钱:没长眼睛自己去治，我都跟楼主说过了没说楼主 
13,车撞树上你知道拐了，股票涨了你知道买了，鼻涕流到嘴里你知道甩了，耽误你赚钱了你知道悔改了（ps:非原创 热搜刷到网友的评论） 
14,回复@王者荣耀王者玩家:别人起码没有这么猥琐吧…就算矮 精神道德方面也比他高吧？ 
15,回复@温柔密码:难道假的？ 
16,回复@田馥甄子丹:哈哈哈哈哈哈哈哈哈哈哈好讽刺啦别攻击别人身高好不 
17,回复@郭敬明最世后援会:牛 不是一类人不进一家人 
18,回复@浪漫星球和一点勇敢:？就事论事四十而已说什么身高 阅读能力是郭敬明老师教你的吗 
19,回复@小王子的L:😅 
20,回复@孟小晗mxh:2021年、是个好年、至少孽障承认了 
21,福不可尽享，更何况赚了这么多年的黑心钱，或许迟到的裁决不是正义，但起码能快慰人心 
22,回复@你laughing哥519:哦～不做人五六年了，OK，那我就放心了。 
23,回复@大熊Bernie:应该问问自己是不是靠抄袭赚了钱发展起来！这么多年后道歉是内心不安？还是又利益图谋？把自己的快乐和利益建立在别人的痛苦之上，希望你不是继续作孽。如果不是自己今年弄出各种事情引发舆论压力，会出来道歉吗？出来混迟早要还的！苍天饶过谁！不作不死！ 
24,不配道歉 
25,回复@软软天天吃肉:没杀人但是诛心 
26,回复@来自星星的dud:韩寒不需要，你以为谁都呵呵呵 
27,谁给你的脸拿你欠人家的赔偿费来捐款？这15年北上广的房价都涨多少了。你该赔的赔，你愿意捐多少另外捐好吧。 
28,回复@芥zzz:郭小四的电影就是社会资源的浪费 
29,回复@付佳同学:不好意思，坚持侮辱郭敬明这种人格低劣的人很多年了，不是你嘴里的跟风，从他拍小时代算起骂了5、6年。 另外，假如你喜欢他的作品，只能说明你本人的审美非常不入流，就别故作姿态了。 
30,回复@守护者:天道好轮回 
31,要是不影响郭老四的财路，郭老四这种死猪不怕开水烫的会道歉 
32,回复@海盐走花路:绝对是区服了，但是晴雅集真的垃圾 
33,这么一说，我倒是想看看这部小说了 
34,回复@孟小晗mxh:四爷是谁啊 
35,m 
36,回复@男德:哥，有钱一起赚啊，群号发一下 
37,滚 
38,再不道歉就被挤压没有余地了，不过，道了歉也没啥意义，偷了毕竟是偷了，还回去也一样是偷！人设崩塌吧！快改行开滴滴吧 
39,回复@辣辣的舔狗:哈哈哈哈哈哈哈哈哈哈哈哈 
40,@咦我竟然是陶安琪琪琪 男德无处不在 
41,抄了那么多书就道歉这一本？ 
42,回复@王小明photo:赞同 
43,回复@没-辙:谁说了 你有资格你去说 你有资格说没过去吗 搞清楚好不好 
44,艺德缺失 
45,回复@Tsukinis:真是大快人心，这个坎儿矮子文贼跨不过去了 
46,回复@陈不亏天下第一:管好你自己 
47,回复@星星星_starlights:显着你高了不是 
48,回复@你就是我心中的Sunshine:以后都再也没有机会犯了 
49,零点零分发的，你是多有心计啊 
50,"小四加油!,期待你下一个电影下架 "
